-OAyRsvFGgc	30.00	40.00	/m/01glhc,/m/02sgy,/m/0342h,/m/03lty,/m/04rlf,/m/0g12c5
-w8maIWtnUk	30.00	40.00	/m/01b9nn,/m/01jnbd,/m/02rr_,/m/02sgy,/m/04rlf
076qdKSC8nU	30.00	40.00	/m/01glhc,/m/02sgy,/m/0342h,/m/04rlf,/m/09x0r,/m/0g12c5
1FnA3w94zXI	30.00	40.00	/m/01glhc,/m/02sgy,/m/04rlf
2VFVe0RCn7g	10.00	20.00	/m/01glhc,/m/02sgy,/m/04rlf,/m/0g12c5
2xQuWif8axE	30.00	40.00	/m/02sgy,/m/04rlf,/m/07szfh9,/m/0g12c5
31O2j4aAgYU	30.00	40.00	/m/018vs,/m/02rr_,/m/02sgy,/m/0342h,/m/04rlf,/m/04szw,/m/0fx80y,/m/0g12c5
3ClbaJYWVO4	30.00	40.00	/m/01jnbd,/m/02rr_,/m/02sgy,/m/0342h,/m/04rlf,/m/04szw,/m/0fx80y
3OWArQGgmm0	40.00	50.00	/m/01glhc,/m/02rr_,/m/02sgy,/m/0342h,/m/04rlf,/m/07m2kt,/m/0g12c5
3SyOlb_hSjg	30.00	40.00	/m/02sgy,/m/0342h,/m/04rlf,/m/04szw,/m/07pws3f,/m/0fx80y
3uz_ZrGsIaA	30.00	40.00	/m/01b9nn,/m/02rr_,/m/02sgy,/m/0342h,/m/04rlf,/m/04szw,/m/0fx80y
4L9KyVVsQOc	30.00	40.00	/m/01glhc,/m/02sgy,/m/04rlf,/m/0g12c5
4Psyk_xyBl0	40.00	50.00	/m/02rr_,/m/02sgy,/m/0342h,/m/04rlf,/m/04szw,/m/07m2kt,/m/0fx80y,/m/0g12c5
6ayVxYbKBe0	30.00	40.00	/m/018vs,/m/01glhc,/m/02rr_,/m/02sgy,/m/03lty,/m/04rlf,/m/0g12c5
6dFdcTWdues	400.00	410.00	/m/01b9nn,/m/02sgy,/m/0342h,/m/04szw,/m/0fx80y
